親字	同	简化字	类推简化字	讹字	通
䁙	𥈔𥉛𥍂𰥤			𥅥	
䁚					
䁛	𥍁󰥞				
䁜					
䁝	覮		𰥞		
䁟					
䁠					
䁢					
䁣					
䁤					
䁥					
䁧					
䁨					
䁪			𥇢		
䁫					
䁬					
䁭					
䁮	𥋋				
䁲	䚑				
䁳					
䁴	𥊳				
䁵	睔𥌡				
䁶					
䁷					
䁸					
䁺	𥋭				
䁻	𥌞𥍐				
䁼					
䁽					
䁾	𬞱𰦋				
䁿				𥊷󰥥	
䂀	𥋟				
䂁					
䂂					
䂃					
䂄	𥍜𰦊				
䂅					
䂆	𥍟𥍠𥍧𥍰				
䂇	𥍞				
䂈	𮔶				
䂉	𥍶				
䂊					
䂌	𥍽				
䂍				𢑾	
䂎	䤸𣡿𥎞𥎢𥎣𥎥󰝻		𥎝𰾦		
䂏	󰦂				
䂐					
䂑				𥎬	
䂒					
䂔	𥏢󰦃			𥏔𥏣	
䂕					
䂗					
䂙					
䂚	𰦬				
䂛					
䂜					
䂟	𥑆				
䂠					
䂢					
䂣					
䂤	𥑧				
䂦	𥒨				
䂧					
䂪					
䂫					
䂬	𥒽				
䂭					
䂮					
䂰					
䂱					
䂳	𥑥𥒑󵈀				
䂶					
䂷					
䂸	𥓛				
䂹	𥓭𨹾				
䂺					
䂻					
䂼					
䂽					
䂾					
䂿					
䃀					
䃁			𰦴		
䃂	硍				
䃇					
䃈					
䃊					
䃌					
䃎					
䃏					
䃑					
䃒					
䃓					
䃔	𥓰				
䃕	磱𥒪		𰦷		
䃗					
䃘			𬒎		
䃙					
䃚					
䃜					
䃞					
䃠	碹				
䃡	𰧢				
䃢			𰧎		
