親字	旧字	異体字
菫		蓳
華	華	蕐
菰		苽
菱		菱
菴		葊
菹		葅
萊		莱
萌		萠
萍		蓱
萱		藼蕿蘐
萸		茰
萼		蕚
落	落	
葉		葉
著	著	
葬		塟
葱		蔥
蓄		稸
蓋		盖葢
蓑		簔簑
蓨		蓚
蓮	蓮	
蓼		蓼
蔕		蒂
蔘		薓
蔣		蒋
蔭		𨼲䕃𦹥
蔵	藏	
蕊		蘂蕋
蕩		蘯
蕭		䔥
薛		𧃎
薩		蕯
薫	薰	
薬	藥	
薺		萕
藍	藍	
藐		𧂀
藤		䕨
藪		薮
藺		藺
蘇		穌蘓
蘋		薲
蘭	蘭	
蘿		蘿
虎		乕
虚	虛	虗
虜	虜	
虫	蟲虫	䖝
虯		虬
虻		蝱
蚊		蟁蚉
蚋		蜹
蚌		蜯
蚓		螾
蚕	蠶	蝅
蚣		蜙
蛇		𧉮虵
蛍	螢	
蛔		蛕蚘
蛗		𧑉
蛙		鼃䵷
蛮	蠻	
蛾		䖸
蜂		蠭
蜃		蜄
蜈		𧋋
蜋		螂
蜮		𧌒
蜿		䖤
蝟		猬
蝥		蟊
蝨		虱
螭		彲
螻		蝼
蟇		蟆
蟒		蠎
蟬		蝉
蟹		蠏
蟻		螘
蠅		蝿
蠕		蝡
蠟		䗶蝋
蠣		蠇蛎
蠹		螙蠧
衄		衂
衆		眾
衛	衞	
衮		袞
衽		袵
袋		帒
袗		袮
袠		袟
袴		褲絝
袷		裌
袽		𦀌
装	裝	
裊		褭
裏		裡
裙		帬裠
裴		裶裵
裸		躶
褌		裩
褎		褏
褐	褐	
褒		襃
褓		緥
襄		㐮
襌		褝
襒		𧝬
襟		䘳
襤		繿
襪		韤韈
襷		𧜎
覆	覆	
覇		霸
規		䂓
覓		覔
視	視	眎眂
覚	覺	覐
覧	覽	
覰		覷
観	觀	
解		觧
觥		觵
触	觸	
觩		𤙠觓
觶		觗
觿		觽
記		𧪄
訛		譌
訳	譯	
診		𧦜
証	証證	
訾		訿
詆		呧
詠		咏
詬		訽
話		䛡
誉	譽	
説	說	
読	讀	
誼		𧧼
諂		讇
諛		䛕
諤		讍
諭	諭	
諱		𮘪
諸	諸	
謁	謁	
謡	謠	
謨		𢜯
謫		讁
謳		𧦅
謷		謸
謹	謹	
譖		譛
譲	讓	
譾		謭
讃		讚
讌		醼
讐		讎
讒		䜛
讕		譋
讖		䜟
谹		𧮯
谺		岈
谿		磎𧮾
豅		𧯇
豊	豐	
豌		𧯡
豚		㹠豘
象		𧰼
豣		猏𧱚
豭		猳
豺		犲
豻		犴
貂		鼦
貉		狢
貊		貃
貌		㒵皃䫉
貔		豼
貝		蛽
財		戝
貴		䝿
賓	賓	賔
賖		賒
賚		𧶛
賛	贊	
賢		贒
賤		賎
質		貭
賺		𧸖
賾		𧷤
贈	贈	
贋		贗
贍		𩟋
贐		賮
贓		賍
赫		爀
赬		頳䞓
走		𧺆赱
趁		趂
趑		䠖趦
跋		䟦
跖		蹠
跬		蹞䞨
践	踐	
踊		踴
踧		𨀚
踪		蹤𨌰
蹄		蹏
蹈		𨂻
蹋		蹹
蹕		𠌫
蹯		籵
蹴		蹵
蹶		蹷
躁		趮
躄		躃
躇		墸䠧
躊		踌
躔		𨇠
躙		蹸躪
躚		蹮
躬		躳
軀		躯
軌		䡄
軍		𠣞
軛		軶
軟		輭
転	轉	
軫		𨋏
軽	輕	
輒		輙
輛		輌
輜		輺
輩		軰
輸	輸	
輿		轝
轄		鎋
轜		輀
轟		軣
轤		䡎
辛		𨐌
辞	辭	辤
辺	邊	邉
迤		迆
迥		䢛逈
迪		廸
迫		廹
迺		廼
逃		迯
逆		屰
逓	遞	
逖		逷
這		这
通		𢓶
連	連	
逬		迸
逸	逸	
遅	遲	遟
遍		徧
過		过
遒		逎
道		衟
達		达逹
違		𨑕
遥	遙	
遷		迁
選		𨕖
遼	遼	
邃		𨗉
還		还
邅		𧾍
邇		迩
邈		𨘷
邛		卭
邢		郉
那		𨙻
郎	郞	
郤		郄
部		郶
郰		鄹
郷	鄕	
都	都	
鄖		䢵
酆		鄷
酔	醉	
酗		䣱
酢		醋
酬		醻酧
醇		醕䣩
醜		魗
醬		醤
醱		醗
醸	釀	
醾		釄
釈	釋	
野		𡌛㙒壄埜
釜		釡
釤		𨥆
釬		銲
鉄	鐵	鐡銕
鉈		鉇
鉚		𨥫
鉛		鈆
鉢		缽盋𥁊
鉤		鈎
鉱	鑛	磺
鉼		鉼
銜		衘㘅啣
銭	錢	
銹		鏽鏥
鋏		𨦇
鋒		鏠
鋭	銳	𨦣
鋳	鑄	
錬	鍊	
録	錄	
鍐		鑁
鍬		鍫
鎌		鐮
鎖		鏁鎻
鎮	鎭	
鏖		䥝
鏘		𨪙
鏝		𨭜
鏞		銿
鏟		𨩱
鏤		𨩐
鏨		鏩
鏸		𨫍
鐫		鎸
鐸		鈬
鑑		鑒鍳
鑓		𨯯
鑣		䮽
鑪		鈩
鑵		𨫝
鑽		鑚
長		镸
閉		閇
閏		閠
間	閒	
関	關	
閲	閱	
閻		閆
闃		閴
闊		𤄃濶
闘	鬪	鬭
阤		陁
阨		阸
陋		𨹟
降	降	夅
陛		㙄
陟		徏
陥	陷	
陰		隂阴
険	險	𡸴嶮
陽		阳
隆	隆	
階		堦
随	隨	
隙		𨻶
隠	隱	乚
隣		鄰
隴		𨻫
隷	隸	
隺		寉
雁		鴈鳫
雄		䧺
集		𠍱亼雧
雋		隽
雌		䳄
雍		雝
雑	雜	襍
雕		鵰
雖		𨿽
雛		鶵
難	難	
雪		䨮
雷		靁
霊	靈	㚑灵䨩
霢		霡
靊		霻
青	靑	
靖	靖	竫
静	靜	
面		靣
靱		靭韌
靴		鞾
鞋		鞵
鞍		鞌
鞘		韒
鞠		毱
鞫		𥷚
鞹		鞟
韊		䪍
韘		弽
韜		鞱
韝		鞲
韠		鞸
韭		韮
韻		韵
響	響	
頤		頥𦣝
頰		頬
頸		頚
頻	頻	
頼	賴	
頽		頺頹
顋		腮
顔	顏	
顕	顯	
顚		顛
類	類	
風		飌凬凮
飄		飃
飆		颷飈飇
食		𠊊飠
飧		飡飱
飯	飯	飰
飲	飮	㱃
飼	飼	飤
飾		餝
餅		餠
餉		饟𩜋
養		养
餐		湌
餞		䬻
館	館	舘
餬		𩚩
餱		糇
餴		饙
饅		𪍩
饌		䉵
饎		糦
饒		𩜙
饘		飦
馘		聝
駄		馱
駅	驛	
駆	驅	敺駈
駝		駞
駻		馯
騈		駢
騎		𮪍
騒	騷	
験	驗	騐
騭		隲
騾		𩦻驘
驁		䮯
驑		騮
驒		騨
驢		馿
髄	髓	膸
高		髙
髡		髨髠
髥		髯
髪	髮	
髭		頾
鬢		髩鬂
鬣		㲱
鬧		閙
鬮		䦰䰗
鬱		欝𣡸
鬲		䰛
魂		䰟
魅		鬽
魚		𩵋
鮑		蚫
鮒		𩷺
鮨		䱈
鮾		鯘
鯊		魦鯋
鰌		鰍
鰐		鱷
鰥		𩻄
鰮		鰛
鰺		鯵
鱪		鱰
鱭		鮆
鱶		鯗
鱸		魲
鳧		鳬
鴃		鴂
鴉		鵶𩿎
鴝		鸜
鴟		𨾦鵄
鴥		鴪
鵙		鶪
鵝		鵞
鵡		䳇
鵪		䨄
鵲		䧿
鶉		𨿡
鶏	鷄	𨿸雞
鶤		鵾
鶯		鸎鴬
鶴		靏靎靍鶴
鶺		𪃹
鷀		鶿
鷆		鷏
鷗		鴎
鸛		雚
鹹		醎
鹼		鹻鹸
鹿		𢈘
麇		麕
麗		䴡
麞		獐
麤		麁
麦	麥	
