親字	旧字	異体字
秧		
秩		
秬		
称	稱	
移		
稀		
稈		
程		
稍		
税	稅	
稔		
稗		
稚		
稜		
稟		禀
稠		
種		
稲	稻	
稷		
稼		
稽		𥡴
稿		
穀	穀	
穂	穗	
穆		
積		
穎		頴
穏	穩	
穡		
穢		
穣	穰	
穫		
穴		
究		
穹		
空		
穽		
穿		
突	突	
窃	竊	
窄		
窈		
窒		
窓	窗	
窕		
窖		
窘		
窟		
窩		
窪		
窮		
窯		
窶		
窺		
窿		
竄		
竅		
竇		
竈		竃
立		
竍		
竏		
竓		
竕		
站		
竚		
竜	龍	
竟		
章		
竡		
竢		
竣		
童		
竦		
竪		豎
竭		
端		
竰		
競		
竹		
竺		
竽		
竿		
笆		
笈		
笊		
笏		
笑		
笘		
笙		
笛		
笞		
笠		
笥		
符		
笨		
第		
笳		
笵		
笹		
筅		
筆		
筈		
等		
筋		
筌		
筍		笋
筏		
筐		筺
筑		
